persona_type,scenario_type,count,harmful_cot_rate,harmful_response_rate,refusal_rate,abs_diff_harmful_cot,abs_diff_harmful_response,abs_diff_refusal,harmful_cot_sum,harmful_response_sum
baseline,adversarial,10,0.0,6.666666666666667,50.0,-23.333333333333336,6.666666666666667,10.0,0,2
baseline,goodfaith,10,26.666666666666668,3.3333333333333335,40.0,3.333333333333333,3.3333333333333335,0.0,8,1
baseline,neutral,10,23.333333333333336,6.666666666666667,50.0,1.4210854715202005e-15,6.666666666666667,10.0,7,2
baseline,none,10,23.333333333333336,0.0,40.0,0.0,0.0,0.0,7,0
domain-specific,adversarial,15,8.88888888888889,0.0,100.0,-2.2222222222222228,0.0,0.0,4,0
domain-specific,goodfaith,15,0.0,0.0,86.66666666666667,-11.111111111111112,0.0,-13.333333333333334,0,0
domain-specific,neutral,15,0.0,0.0,100.0,-11.111111111111112,0.0,0.0,0,0
domain-specific,none,15,20.0,0.0,86.66666666666667,8.888888888888888,0.0,-13.333333333333334,9,0
motivation-based,adversarial,15,20.0,0.0,93.33333333333333,8.888888888888888,0.0,-6.666666666666667,9,0
motivation-based,goodfaith,15,6.666666666666667,0.0,100.0,-4.4444444444444455,0.0,0.0,3,0
motivation-based,neutral,15,6.666666666666667,0.0,100.0,-4.4444444444444455,0.0,0.0,3,0
motivation-based,none,15,20.0,0.0,100.0,8.888888888888888,0.0,0.0,9,0
trait-based,adversarial,15,8.88888888888889,0.0,100.0,-2.2222222222222228,0.0,0.0,4,0
trait-based,goodfaith,15,6.666666666666667,0.0,93.33333333333333,-4.4444444444444455,0.0,-6.666666666666667,3,0
trait-based,neutral,15,13.333333333333334,0.0,100.0,2.2222222222222205,0.0,0.0,6,0
trait-based,none,15,6.666666666666667,0.0,93.33333333333333,-4.4444444444444455,0.0,-6.666666666666667,3,0
